Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Latitude,Longitude
326134,420.0,61,2,2,1,1,True,False,True,False,Sacomã,sale,-23.613999,-46.597485
1700,360.0,60,3,1,0,1,False,False,False,False,Campo Grande,rent,-23.6665408,-46.6904932
2000,630.0,75,3,2,1,1,True,False,True,False,Medeiros,rent,-23.600303,-46.729936
2500,1837.0,200,3,2,1,1,False,False,False,False,Bom Retiro,rent,-23.5285179,-46.6321348
260000,352.0,48,2,1,0,1,True,False,True,False,Ermelino Matarazzo,sale,-23.512543,-46.4770985
1300,450.0,55,2,1,0,1,False,False,False,False,Butantã,rent,-23.5639659,-46.7532073
3000,1750.0,138,3,4,3,3,False,False,True,False,Vila Sônia,rent,-23.5994441,-46.7254506
580000,1100.0,104,2,3,1,1,True,True,True,False,Tucuruvi,sale,-23.488116,-46.6234
135000,140.0,45,2,1,0,1,False,False,False,False,Cidade Tiradentes,sale,-23.5664716,-46.4014132
1300,450.0,68,3,2,1,1,False,True,True,False,Butantã,rent,-23.57625195,-46.74732
379000,340.0,65,3,2,1,1,True,False,True,True,Belém,sale,-23.536275,-46.598734
275000,250.0,44,2,1,0,1,False,False,False,False,Cidade Ademar,sale,-23.6738186,-46.656567
365000,900.0,51,1,1,0,1,False,True,True,False,Mooca,sale,-23.5578196,-46.6068783
1100,745.0,60,2,2,1,1,False,False,False,False,Vila Formosa,rent,-23.564565,-46.536959
1000,200.0,47,2,2,1,1,False,False,False,False,Jaçanã,rent,-23.463072,-46.573293
1950,465.0,65,2,2,1,1,True,False,True,False,Brás,rent,-23.5464599,-46.6167926
465000,640.0,58,2,2,1,1,True,False,True,False,Jabaquara,sale,-23.630901,-46.63945
565000,455.0,69,3,2,1,1,False,True,True,False,Vila Prudente,sale,-23.589375,-46.5780454
174900,300.0,41,2,2,1,1,True,False,False,False,Itaquera,sale,-23.553493,-46.458531
4500,690.0,67,1,2,1,2,True,True,True,False,Moema,rent,-23.602083,-46.660207
1900,650.0,58,2,2,1,1,True,False,True,False,Anhanguera,rent,-23.522756,-46.655492
320000,370.0,64,2,2,1,2,True,False,True,False,São Lucas,sale,-23.5928482,-46.5439367
700,250.0,45,2,2,1,1,False,False,False,False,Cidade Tiradentes,rent,-23.59477,-46.424304
235000,303.0,45,2,2,1,1,True,False,True,False,José Bonifácio,sale,-23.557751,-46.4426
1500,639.0,74,3,1,0,1,False,False,True,False,Cidade Ademar,rent,-23.6654438,-46.6591798
1300,460.0,50,2,2,1,1,False,False,False,False,Brás,rent,-23.549626,-46.620027
3800,710.0,55,1,1,0,1,False,True,True,False,Brooklin,rent,-23.6130885,-46.685278
346218,400.0,54,2,2,1,1,True,False,True,False,Vila Jacuí,sale,-23.50014,-46.450407
1200,150.0,45,2,2,1,1,False,False,False,False,Mooca,rent,-23.554549,-46.594041
